,Adj Close,prediction
218,45.89,59.585974108484805
219,45.09,54.02942148539263
220,49.59,58.42984231955228
221,48.89,59.99571841842459
222,47.82,55.380372387562936
223,50.19,60.36081238672176
224,48.19,53.2710543555347
225,44.71,53.40167072476437
226,47.9,55.95701546147533
227,45.77,49.743249749798196
228,47.9,60.893114681020116
229,50.26,56.968473213028446
230,50.29,56.02275362017748
231,51.06,52.2494343099944
232,52.64,62.49161411399912
233,51.53,56.25384563944341
234,48.65,52.30778819997562
235,49.11,49.35283081597062
236,48.28,51.206407922974435
237,49.6,53.63055190600035
238,48.67,49.20212528766325
239,47.14,48.25157208195368
240,46.71,48.4765617999809
241,46.5,50.91169478439436
242,47.88,52.35830270029477
243,47.88,52.33693604622856
244,47.1,47.90398506199008
245,49.11,53.07497580823835
246,49.69,55.313113854787815
247,48.09,48.626485348756454
248,47.03,47.10799332891223
249,46.83,44.03645294456613
250,46.09,45.76490898603492
251,46.87,46.29926321761591
252,45.49,45.964010395941294
253,41.12,51.71416847210567
254,40.66,43.40753533377983
255,41.43,45.124548440367334
256,39.91,41.636973152540826
257,39.49,41.06048922580059
258,39.96,40.93570785779364
259,40.08,40.287675021686574
260,42.8,50.046825911719424
261,41.9,43.42463603171826
262,41.54,41.48386682866092
263,39.64,43.998641490302326
264,39.1,39.37649282622111
265,36.51,43.226823487403855
266,36.32,39.00508232513559
267,36.53,39.03230086032794
268,35.95,39.8330644944555
269,33.32,41.61500079325584
270,34.31,39.205387703303415
271,35.66,39.941161544755936
272,34.09,40.893956357681006
273,36.03,39.177160272376206
274,35.62,38.412102090448286
275,34.72,37.162087230579004
276,38.19,43.17505455338647
277,40.85,49.10682902409266
278,42.22,50.99924992163266
279,42.38,45.80215058809881
280,42.5,46.06713658742211
281,44.86,53.09309466921151
282,43.74,47.132051285977425
283,47.29,54.22276800779795
284,46.83,51.36951916498112
285,47.18,51.74022541535209
286,46.34,46.21621455397376
287,47.84,49.182716351148386
288,48.74,49.33800634602133
289,48.06,51.612295609336655
290,46.16,50.44490364590546
291,48.67,51.64813950210083
292,47.32,48.34079167133319
293,48.93,54.79550650185675
294,49.18,47.75656582256843
295,48.77,54.836001440695256
296,48.17,57.23120243020635
297,46.08,51.706223693238776
298,50.58,57.95935966537603
299,52.62,58.20176050085752
300,51.59,51.49395560027933
301,50.78,52.76959220040997
302,51.85,53.03704726472587
303,51.59,58.346256667291556
304,50.46,50.03102751895956
305,48.58,49.14887453553262
306,45.87,52.17580845154494
307,46.2,45.56878939522673
308,45.64,46.03423191559706
309,46.17,47.611073520452265
310,46.59,45.49467880542062
311,47.83,49.13754436751046
312,48.92,53.65963194007266
313,53.8,63.408192189481305
314,54.25,71.89549587171152
315,58.02,72.68502248774021
316,58.36,67.279570713043
317,58.96,63.60567608790284
318,57.07,61.47383656471136
319,56.91,58.834337295173654
320,53.03,62.662334545954806
321,53.68,51.903034357525044
322,53.68,53.74479970212688
323,55.99,62.76860817249214
324,56.76,54.39170278140874
325,54.85,55.90477318288575
326,54.75,54.09606301183979
327,53.5,52.1221528228591
328,52.48,51.516325918480554
329,50.67,52.498402878576805
330,51.83,48.540309439635394
331,51.11,47.650806062983364
332,51.51,48.92475964703907
333,50.51,48.18571700145434
334,53.03,53.744483644245314
335,53.02,49.05091957259786
336,53.23,54.447629391774264
337,51.6,49.983526161824095
338,48.88,50.509386770396446
339,49.01,47.563524872185496
340,49.14,46.12138627562901
341,49.42,51.828619806478216
342,48.41,48.53478259845028
343,45.89,47.95572449729584
344,46.98,48.16975420054568
345,48.31,46.969499465297616
346,47.7,45.62082508909907
347,46.99,44.77466225596555
348,46.69,45.04056347212411
349,46.05,43.41863201462387
350,46.24,43.146328962676854
351,46.34,47.638152581219444
352,47.53,47.425376251567045
353,48.2,49.235724885136676
354,44.41,52.10193315145143
355,44.03,45.789759130699764
356,40.08,49.65207644876857
357,39.85,42.99473498426668
358,38.77,41.49190802514868
359,40.2,45.7529991702426
360,40.29,43.84370492503965
361,40.05,42.42748707826777
362,44.06,49.913740978626876
363,43.47,46.345125084164714
364,46.22,54.749053752167555
365,45.64,46.66843085007538
366,44.58,48.38381511906949
367,44.46,52.380810878537304
368,45.79,46.1536767795554
369,45.62,43.059616667014744
370,43.56,46.85105612631578
371,45.91,52.72030083630452
